AULAS (capacidad):

1.1 (80) 
1.2 (80)
1.3 (80)
1.4 (80)
-1.15 (80)
-2.15 (80)

1.5 (56)
1.10 (56)
0.2 (56)
0.4 (56)
-2.2 (56)
-2.4 (56)
-2.6 (56)

0.6 (48)
0.8 (48)

1.6 (40)
1.7 (40)
1.8 (40)
1.9 (40)

0.10 (40)
0.12 (40)
-1.1 (40)
-1.2 (40)
-1.3 (40)
-1.4 (40)
-1.6 (40)
-1.7 (40)
-1.8 (40)
-1.9 (40)
-1.10 (40)
-1.12 (40)
-1.14 (40)
